,Participant,R2_Pupil_size,RMSE_Pupil_size,NRMSE_Pupil_size,Corr_Pupil_size,P_value_Pupil_size,R2_FER_Mean_Arousal,RMSE_FER_Mean_Arousal,NRMSE_FER_Mean_Arousal,Corr_FER_Mean_Arousal,P_value_FER_Mean_Arousal
0,4FoNM,0.20594883611731873,2.6637947522219325,2.6012960141851207,0.45381586146510877,1.9196394062897043e-91,0.049380530909124976,0.630911608480041,0.6161089742643653,0.2222173056022529,2.026856423605444e-21
1,5KB3V,0.1677926875790514,1.7294236508337915,1.6888474031262792,0.4096250573134549,3.2293864799460424e-73,0.18400843840026904,2.8625962029552556,2.79543312665426,0.42896204773880514,7.350327599884198e-81
2,6GSd4,0.2185416248328771,0.2887146930173296,0.2819407837470236,0.4674843578483425,1.195549903534862e-97,0.048061774637967014,1.3976432930422802,1.3648513739321853,0.21922995834959913,7.073132834687774e-21
3,7yqP3,0.17481040528677705,2.815699869938216,2.74963708923232,0.41810334283138273,1.6584278062142545e-76,,,,,
4,8vDRG,0.12496390527999812,0.8725058325286134,0.8520348433815287,0.35350234126522845,1.0310183000417249e-53,0.025372229128491797,0.7806346909130497,0.7623192095835942,0.1592866257050228,1.2862058883881152e-11
5,9FGka,0.0671416895092124,1.0019282750165384,0.9784207383567783,0.2591171347271583,8.609169404799407e-29,0.0026463681583401844,2.1253429264501764,2.0754775039405016,0.051442863045715014,0.02970896492799757
6,CoQmx,0.21021598624638893,0.51836925492652,0.5062071225989574,0.45849316924725164,1.5537398209698541e-93,0.04318613853986797,0.5876467175367699,0.573859176951337,0.2078127487423908,7.101865506041483e-19
7,Cr1sTi,0.15168074583024005,1.8294258538872075,1.7865033250007396,0.3894621237427847,9.105090248636651e-66,0.14356393121396038,3.132572554320282,3.0590752132468135,0.37889831249816963,4.5720942773591975e-62
8,D9Hh9,0.22211242220740257,0.7611598193568363,0.7433012632070243,0.47128804589911105,1.994645750812653e-99,0.04187038316494618,0.775395941980135,0.7572033737230646,0.20462253826239712,2.4562686288400226e-18
9,EJOiBs,0.1391965654099896,1.0105274462373894,0.9868181532865272,0.37309055926140694,4.337471652405849e-60,0.04608676739167594,0.9770965942756614,0.9541716658323728,0.21467828812359205,4.585783061405777e-20
10,EXAMPLE,0.20545927827820265,0.400182607657893,0.3907934053021046,0.4532761611624889,3.3304181418334284e-91,0.08559464451461762,1.0737668694026494,1.0485738344560092,0.29256562428730004,1.3905071508670848e-36
11,F5tXL,0.03264700912972551,0.38215674770410035,0.37319047339042205,0.18068483370146354,1.4260427162229342e-14,0.128733663159194,1.9375017579074074,1.892043520288945,0.3587947368053131,2.1594285269024938e-55
12,F8mDn,0.21729330746683917,0.6279912113024978,0.6132570963066345,0.466147302327107,4.978943890660669e-97,0.04971057450628136,0.6570992955517141,0.641682238099144,-0.2229586834063232,1.4821317867708034e-21
13,Fjil72,0.16016361053863515,1.1915335367089006,1.1635774254842166,0.40020446091796014,1.1331724520479438e-69,0.10369905907391952,2.0808881813038487,2.0320657691346202,0.32202338280615495,2.2649244083784503e-44
14,Fyt7d,,,,,,0.018046949510019727,0.6535060103512483,0.6381732596157209,0.1343389351975801,1.2038039639454789e-08
15,G4Egk,0.1638726668218543,0.6164809527036862,0.6020168947894742,0.4048118906626313,2.1612048312152906e-71,0.003853244048451443,0.6081108339956431,0.5938431582749296,0.062074504012931284,0.008689600591217388
16,G4dLl,0.18955450829027898,2.0210030882979755,1.9735857178411245,0.4353785804220034,2.3371087810344453e-81,0.03431910486984002,1.839138961820288,1.7959885411310728,0.185254162894765,2.9745978962752886e-15
17,G5XzoP,0.2571905174653717,1.734959309388807,1.6942531824277964,0.5071395443715387,2.471898201909926e-117,0.011982333396593159,0.8141594231083791,0.7950573746256238,-0.10946384515717106,3.5390898374516075e-06
18,GFGzP,0.18295727201975975,0.4734642563972915,0.4623556983878256,0.4277350488559007,4.3581386824713117e-72,0.19780442104465434,1.1112558815443172,1.0851832683391995,0.4447520894213475,1.8483879311051057e-78
19,GHft8,0.04813409501676302,0.554314186297404,0.5413087033897616,0.2193948381725584,6.6048151974761175e-21,,,,,
20,Gax8,0.1691700517543061,2.509242613677167,2.4503700234927304,0.4113028710747178,7.339479564773437e-74,0.0629464307542289,0.7148296322028611,0.6980580885669515,0.2508912727741422,4.864191839507874e-27
21,Gftw5,0.21885753671344665,0.769345277200994,0.7512946714253289,0.467822120803887,8.329475396938648e-98,0.03892266481191342,1.4019556756690774,1.3690625781660595,0.19728827844530838,3.9419028912022955e-17
22,Hx7dO,0.1603949346799226,0.6579150134521987,0.64247881738569,0.40049336408974695,8.856606770236892e-70,0.051103256541741526,3.24691138116712,3.170731388819346,0.22606029404064226,3.95241775016185e-22
23,KWgkc,0.1081014204694043,0.6801036698812754,0.6641468770141337,0.32878780462390067,2.7458935473873155e-46,0.05053045518228427,0.5878254713145137,0.5740337367552324,-0.22478980222039072,6.808273096811968e-22
24,KoG5ii,0.15488939491970255,0.25941788746788513,0.25333134848908634,0.39355990004026387,3.0672004450454637e-67,0.02462343078278284,1.1698167543786584,1.1423701687053438,0.15691854824329374,2.58860825088152e-11
25,LR96S,0.2482636658270242,2.1419673241128567,2.091711855082641,0.498260640455399,1.0677148150047062e-112,0.038990674080810805,0.7868194224077255,0.7683588330840481,0.19746056335585271,3.6976255275792165e-17
26,M4t7k,0.16620214526059574,0.44179754057686205,0.43143195639257403,0.4076789732873105,1.7818119721616164e-72,0.08049754285080513,1.5384415559128908,1.5023461864375423,0.2837208889926949,2.0405038456015804e-34
27,NMy2s,0.20533700608209804,4.115893878916602,4.019325562941373,0.45314126504005126,3.8215404044702875e-91,0.1847025453894473,2.346277147700628,2.2912281013378837,0.42977034028588745,3.434216144339304e-81
28,O1pGR,0.19251218446616436,1.99794547193147,1.9510690860695625,0.43876210463776866,6.283922925342514e-85,0.003564486033769687,0.6259221178603097,0.6112365485449682,0.05970331677360431,0.01161559693621685
29,PPjCX,0.17723406895259408,0.4435801587068866,0.4331727502103331,0.4209917682717731,1.1946655710745837e-77,0.061348489338402534,1.4872065048590415,1.4523132272608716,0.2476862720023107,2.2518826846179357e-26
30,Pi9803,0.17095537467323263,1.9747728976490717,1.9284401935586317,0.41346750135075017,1.0716750198813569e-74,0.023073643599782923,1.6017552782600852,1.564174423559641,0.15190011059832298,1.1005901894306074e-10
31,VckNZ,0.21194515360941835,0.3693744699456345,0.3607080972022531,0.4603750141020018,2.190376537763764e-94,0.01765337774036302,1.131359845564813,1.104815547227134,0.13286601424127645,1.7390754024543217e-08
32,WQzBV,0.07390289316525334,0.2826403191479234,0.2760089286286905,0.27185086566949335,1.2487571432307502e-31,0.04405725122533255,0.6086914865114817,0.5944101873502057,-0.20989819252516798,3.120958468784921e-19
33,WYuvqk,0.12277379164528335,0.9071638847607808,0.8858797381714729,0.35039091261801203,9.670618654103856e-53,,,,,
34,XPI3pA,0.09708315980946847,0.511918510476554,0.5074956855767526,0.31158170647435013,2.3051050488316861e-38,,,,,
35,Xd3foP9,0.2151202018644327,0.47188894105598805,0.4678119598261036,0.46381052366718956,1.783475866882136e-93,0.11057719371785935,2.899248495627166,2.831225472426643,0.3325314928211452,2.2750119884918267e-47
36,XhsN0o,0.17514609151823668,1.833953940625041,1.790925172432185,0.4185045896023567,1.15255178423941e-76,0.028390595916544137,0.6528247575154092,0.6375079905348197,0.16849509166899748,7.660244296859567e-13
37,gf5X,0.08866643748762681,0.5665320296815795,0.5532398881293829,0.29776910096184706,6.792772996352021e-38,0.04991701238073343,0.9301312415832848,0.9083082280950725,0.2234211547296573,1.21854473946006e-21
38,gjGzb,0.2308783695295621,1.8140384468403945,1.7714769418358463,0.4804980432109604,7.966114405960674e-104,0.01628022479862934,0.6640098541525145,0.6484306591361102,0.1275939841788383,6.280899263455395e-08
39,h2yD5h,0.14806254543294628,2.317233741531185,2.2628661201289666,0.38478896220259023,4.1044047743660136e-64,,,,,
40,hMHEK1,0.19354494266682654,0.8732027534093879,0.8527154128990747,0.439937430399854,2.0012202895512723e-85,0.0042235763373500435,0.6063676338034505,0.5921408575597206,-0.06498904782615064,0.006005331873813313
41,kH4Dd,0.12039612486408235,0.38446538744600994,0.3811437199268475,0.346981447434992,2.2554928576843356e-50,0.03005767461436437,1.7475379187623123,1.7065366687587153,0.17337149308454497,1.6107788527678562e-13
42,tMGNS,0.18433293518269978,2.5719264021664627,2.511583106450874,0.42934011597182425,5.150405588990669e-81,0.0008608421476549166,0.5790718889759958,0.5654855335469956,-0.029340111582183956,0.21521817216541259
43,uksXB,0.13523384572889796,0.625802930103073,0.6111201572060406,0.3677415474608461,2.6468148582058572e-58,0.03250594224682801,1.1131345266192019,1.0870178360893197,0.18029404384734424,1.6275379020607205e-14
44,urJvc,0.14949012700990383,1.98168851173044,1.9351935514629899,0.3866395311008737,9.15148298809599e-65,0.12076976620956537,1.9069383063627898,1.8621971574577107,0.34751944723938166,7.464167323782093e-52
45,wohkw,0.18553818288972324,0.5750463913306614,0.561554483314546,0.4307414339133435,1.3727591643071334e-81,0.02402664428392076,0.726664694229545,0.709615472878174,0.15500530405092866,4.5198698181285796e-11
46,yb3T2,0.1617793856674612,2.596117294705305,2.535206425135011,0.40221808222338923,2.0235133668060007e-70,0.03412472055714699,0.7665029239161997,0.74851900627152,0.1847287756608244,3.569399656139221e-15
