Participant,learning_rate,max_depth,n_estimators,num_leaves
4FoNM,0.05,11,300,63
5KB3V,0.05,11,300,31
6GSd4,0.05,11,300,63
7yqP3,0.1,9,300,31
8vDRG,0.1,11,300,31
A5feTy,0.05,11,300,63
Bs73,0.2,11,300,31
CoQmx,0.1,9,300,31
Cr1sTi,0.1,9,300,63
CVgs2,0.1,11,300,31
D9Hh9,0.1,7,300,31
Dwf5T,0.1,11,300,31
ERqc8,0.05,11,300,63
EXAMPLE,0.05,11,300,85
F5tXL,0.05,11,300,85
F8mDn,0.1,11,300,63
Fjil72,0.05,11,300,63
G4dLl,0.1,11,300,31
G4Egk,0.05,11,300,63
G5XzoP,0.1,9,300,63
Gax8,0.1,11,300,31
gf5X,0.1,9,300,63
GFGzP,0.1,9,300,31
Gftw5,0.2,11,300,63
GHft8,0.05,11,300,63
gjGzb,0.1,11,300,85
hMHEK1,0.1,11,300,31
Hx7dO,0.05,11,300,63
Kgh4P3,0.1,11,300,63
kH4Dd,0.05,11,300,63
KoG5ii,0.05,11,300,31
KWgkc,0.1,9,300,63
LR96S,0.05,11,300,63
M4t7k,0.05,11,300,63
NMy2s,0.1,11,300,63
O1pGR,0.1,11,300,63
Pi9803,0.05,11,300,63
PPjCX,0.05,11,300,63
SI3pa2,0.2,9,300,63
sop2d,0.05,11,300,63
tMGNS,0.05,11,300,63
urJvc,0.05,11,300,63
V9D5x,0.2,7,300,63
wohkw,0.05,11,300,63
WQzBV,0.05,11,300,63
WYuvqk,0.1,11,300,31
Xd3foP9,0.1,11,300,63
XhsN0o,0.1,11,300,63
XPI3pA,0.1,11,300,63
yb3T2,0.1,11,300,63
Gr33d,0.1,11,300,63
h2yD5h,0.1,11,300,31
